,(Intercept),Drainage,EstLarvalAge,SampDist,SampSize,TreatMonth,YearSinceTreat,EstLarvalAge:YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
100,81.6714844322829,0.00902356274852363,8.77879373305779,NA,NA,NA,20.3484014571958,-4.50939608252496,NA,NA,6,-127.455183601102,273.371905663742,30.5994504258476,5.01919172701606e-08
59,53.2454663362407,NA,20.8207467508364,NA,1.35062098899819,+,-18.2692643167331,NA,NA,NA,10,-115.160300534448,274.765045513341,31.9925902754461,2.50102084214716e-08
189,14.8080468292116,NA,NA,7.3026496903762,2.1455146902244,+,-8.41936240747763,NA,-0.148774497004255,NA,11,-110.875900472889,276.751800945777,33.9793457078829,9.26187361256718e-09
17,145.9134599,NA,NA,NA,NA,+,NA,NA,NA,NA,7,-126.732471983635,276.798277300604,34.0258220627096,9.0491260568822e-09
159,-2.79333577103342,NA,3.55608806865566,10.8712491019613,2.1781710723681,+,NA,NA,-0.167275304118108,NA,11,-111.009610220918,277.019220441837,34.2467652039425,8.10269412281862e-09
160,25.9222739434425,0.0520483534190701,-22.2079703864187,-9.33880851703127,1.94423321191244,+,NA,NA,-0.0888278464731413,NA,12,-104.599566915178,277.770562401786,34.998107163891,5.56515943636349e-09
104,62.7240100217291,0.00928806131745727,18.1703668479664,5.91557559761313,NA,NA,20.2238516773658,-5.66561245565391,NA,NA,7,-127.331767080644,277.996867494621,35.2244122567261,4.96976764616137e-09
190,-11.3465132886837,0.0502761531092609,NA,-2.84592599153872,1.99883771171937,+,4.523487023133,NA,-0.112443281660048,NA,12,-104.967239875626,278.505908322681,35.7334530847864,3.85300234287949e-09
63,89.6675030587096,NA,-16.4172194159055,-19.5330093312308,1.60835919687725,+,-20.7037710525598,NA,NA,NA,11,-112.366113472187,279.732226944375,36.95977170648,2.08692848968649e-09
64,66.157988175197,0.0567645278349432,-33.1143824898688,-25.8306384457781,1.61260720691092,+,-3.60293035345408,NA,NA,NA,12,-105.663029586586,279.897487744601,37.1250325067064,1.92141705395442e-09
60,27.2757153187252,0.0418173986413547,17.3647610571397,NA,1.29253417263248,+,-5.09315728241941,NA,NA,NA,11,-112.749607517498,280.499215034997,37.7267597971022,1.42219196329129e-09
18,127.82360655628,0.0428162209318805,NA,NA,NA,+,NA,NA,NA,NA,8,-125.901777699923,280.894464490755,38.122009252861,1.16716133299273e-09
49,112.478359027174,NA,NA,NA,NA,+,26.7480806982605,NA,NA,NA,8,-126.31475308019,281.72041525129,38.9479600133956,7.72285645248458e-10
21,144.180915287097,NA,NA,8.66272306451506,NA,+,NA,NA,NA,NA,8,-126.480126954264,282.051162999437,39.278707761543,6.54571363347221e-10
123,-23.4767451030181,NA,95.3310058850464,NA,1.38268117634779,+,47.7697213545517,-67.3922213196803,NA,NA,11,-113.579093415909,282.158186831818,39.3857315939234,6.20464690508463e-10
19,146.712052598659,NA,-0.638874158927429,NA,NA,+,NA,NA,NA,NA,8,-126.732414272059,282.555737635027,39.7832823971325,5.08615992431401e-10
50,68.2321278337858,0.0580289572469988,NA,NA,NA,+,42.5312781034858,NA,NA,NA,9,-124.831914484426,285.663828968851,42.8913737309569,1.07516855390502e-10
22,127.802026324621,0.039917608658824,NA,6.23121958513007,NA,+,NA,NA,NA,NA,9,-125.764711646876,287.529423293753,44.7569680558582,4.23026811056705e-11
20,135.151902372952,0.0430543103042858,-5.94311086121001,NA,NA,+,NA,NA,NA,NA,9,-125.896376331415,287.79275266283,45.0202974249355,3.70840064108214e-11
53,114.773917654411,NA,NA,6.91878725782781,NA,+,23.8046278352189,NA,NA,NA,9,-126.152878643615,288.305757287231,45.5333020493362,2.8693868832599e-11
127,9.90010171047824,NA,60.9864686563194,-20.2025968200148,1.65104883261406,+,48.9476072557793,-71.1638016648534,NA,NA,12,-109.941911592367,288.455251756162,45.6827965182678,2.66272795149981e-11
51,105.808971657814,NA,5.07051422239892,NA,NA,+,27.01307637135,NA,NA,NA,9,-126.311003920979,288.622007841959,45.8495526040643,2.44971845116017e-11
23,116.234478111662,NA,22.0377324540813,10.659081103683,NA,+,NA,NA,NA,NA,9,-126.423112497471,288.846224994943,46.0737697570485,2.18991892712856e-11
191,14.4172623849854,NA,0.254480386075293,7.3624052998703,2.14598025952215,+,-8.3933835705556,NA,-0.148969566618988,NA,12,-110.875868352146,290.323165275721,47.5507100378265,1.04644047705986e-11
313,-46.6808186462622,NA,NA,NA,2.06736274419919,+,44.5051973944525,NA,NA,+,13,-102.985977764704,292.638622196075,49.8661669581802,3.28790642091074e-12
