NW_022638505.1	unplaced_scaffold_1245_arrow_ctg1
NW_022638506.1	unplaced_scaffold_1246_arrow_ctg1
NW_022638507.1	unplaced_scaffold_1247_arrow_ctg1
NW_022638508.1	unplaced_scaffold_1248_arrow_ctg1
NW_022638509.1	unplaced_scaffold_1249_arrow_ctg1
NW_022638510.1	unplaced_scaffold_1250_arrow_ctg1
NW_022638511.1	unplaced_scaffold_1251_arrow_ctg1
NW_022638512.1	unplaced_scaffold_1252_arrow_ctg1
NW_022638513.1	unplaced_scaffold_1253_arrow_ctg1
NW_022638514.1	unplaced_scaffold_1254_arrow_ctg1
NW_022638515.1	unplaced_scaffold_1255_arrow_ctg1
NW_022638516.1	unplaced_scaffold_1256_arrow_ctg1
NW_022638517.1	unplaced_scaffold_1257_arrow_ctg1
NW_022638518.1	unplaced_scaffold_1258_arrow_ctg1
NW_022638519.1	unplaced_scaffold_1259_arrow_ctg1
NW_022638520.1	unplaced_scaffold_1260_arrow_ctg1
NW_022638521.1	unplaced_scaffold_1261_arrow_ctg1
NW_022638522.1	unplaced_scaffold_1262_arrow_ctg1
NW_022638523.1	unplaced_scaffold_1263_arrow_ctg1
NW_022638524.1	unplaced_scaffold_1264_arrow_ctg1
NW_022638525.1	unplaced_scaffold_1265_arrow_ctg1
NW_022638526.1	unplaced_scaffold_1266_arrow_ctg1
NW_022638527.1	unplaced_scaffold_1267_arrow_ctg1
NW_022638528.1	unplaced_scaffold_1268_arrow_ctg1
NW_022638529.1	unplaced_scaffold_1269_arrow_ctg1
NW_022638530.1	unplaced_scaffold_1270_arrow_ctg1
NW_022638531.1	unplaced_scaffold_1271_arrow_ctg1
NW_022638532.1	unplaced_scaffold_1272_arrow_ctg1
NW_022638533.1	unplaced_scaffold_1273_arrow_ctg1
NW_022638534.1	unplaced_scaffold_1274_arrow_ctg1
NW_022638535.1	unplaced_scaffold_1275_arrow_ctg1
NW_022638536.1	unplaced_scaffold_1276_arrow_ctg1
NW_022638537.1	unplaced_scaffold_1277_arrow_ctg1
NW_022638538.1	unplaced_scaffold_1278_arrow_ctg1
NW_022638539.1	unplaced_scaffold_1279_arrow_ctg1
NW_022638540.1	unplaced_scaffold_1280_arrow_ctg1
NW_022638541.1	unplaced_scaffold_1281_arrow_ctg1
NW_022638542.1	unplaced_scaffold_1282_arrow_ctg1
NW_022638543.1	unplaced_scaffold_1283_arrow_ctg1
NW_022638544.1	unplaced_scaffold_1284_arrow_ctg1
NW_022638545.1	unplaced_scaffold_1285_arrow_ctg1
NW_022638546.1	unplaced_scaffold_1286_arrow_ctg1
NW_022638547.1	unplaced_scaffold_1287_arrow_ctg1
NW_022638548.1	unplaced_scaffold_1288_arrow_ctg1
NW_022638549.1	unplaced_scaffold_1289_arrow_ctg1
NW_022638550.1	unplaced_scaffold_1290_arrow_ctg1
NW_022638551.1	unplaced_scaffold_1291_arrow_ctg1
NW_022638552.1	unplaced_scaffold_1292_arrow_ctg1
NW_022638553.1	unplaced_scaffold_1293_arrow_ctg1
NW_022638554.1	unplaced_scaffold_1294_arrow_ctg1
NW_022638555.1	unplaced_scaffold_1295_arrow_ctg1
NW_022638556.1	unplaced_scaffold_1296_arrow_ctg1
NW_022638557.1	unplaced_scaffold_1297_arrow_ctg1
NW_022638558.1	unplaced_scaffold_1298_arrow_ctg1
NW_022638559.1	unplaced_scaffold_1299_arrow_ctg1
NW_022638560.1	unplaced_scaffold_1300_arrow_ctg1
NW_022638561.1	unplaced_scaffold_1301_arrow_ctg1
NW_022638562.1	unplaced_scaffold_1302_arrow_ctg1
NW_022638563.1	unplaced_scaffold_1303_arrow_ctg1
NW_022638564.1	unplaced_scaffold_1304_arrow_ctg1
NW_022638565.1	unplaced_scaffold_1305_arrow_ctg1
NW_022638566.1	unplaced_scaffold_1306_arrow_ctg1
NW_022638567.1	unplaced_scaffold_1307_arrow_ctg1
NW_022638568.1	unplaced_scaffold_1308_arrow_ctg1
NW_022638569.1	unplaced_scaffold_1309_arrow_ctg1
NW_022638570.1	unplaced_scaffold_130_arrow_ctg1
NW_022638571.1	unplaced_scaffold_1310_arrow_ctg1
NW_022638572.1	unplaced_scaffold_1311_arrow_ctg1
NW_022638573.1	unplaced_scaffold_1312_arrow_ctg1
NW_022638574.1	unplaced_scaffold_1313_arrow_ctg1
NW_022638575.1	unplaced_scaffold_1314_arrow_ctg1
NW_022638576.1	unplaced_scaffold_1315_arrow_ctg1
NW_022638577.1	unplaced_scaffold_1316_arrow_ctg1
NW_022638578.1	unplaced_scaffold_1317_arrow_ctg1
NW_022638579.1	unplaced_scaffold_1318_arrow_ctg1
NW_022638580.1	unplaced_scaffold_1319_arrow_ctg1
NW_022638581.1	unplaced_scaffold_1320_arrow_ctg1
NW_022638582.1	unplaced_scaffold_1321_arrow_ctg1
NW_022638583.1	unplaced_scaffold_1322_arrow_ctg1
NW_022638584.1	unplaced_scaffold_1323_arrow_ctg1
NW_022638585.1	unplaced_scaffold_1324_arrow_ctg1
NW_022638586.1	unplaced_scaffold_1325_arrow_ctg1
NW_022638587.1	unplaced_scaffold_1326_arrow_ctg1
NW_022638588.1	unplaced_scaffold_1327_arrow_ctg1
NW_022638589.1	unplaced_scaffold_1328_arrow_ctg1
NW_022638590.1	unplaced_scaffold_1329_arrow_ctg1
NW_022638591.1	unplaced_scaffold_1330_arrow_ctg1
NW_022638592.1	unplaced_scaffold_1331_arrow_ctg1
NW_022638593.1	unplaced_scaffold_1332_arrow_ctg1
NW_022638594.1	unplaced_scaffold_1333_arrow_ctg1
